Treatment,Cricket,combo,MWeight ,MSize,Gtime,Gweight,Gsize,DevRate,TestAge,WeightAfter,PT_D1_Time,PT_D2_Time,Day,Trial,TOTAL.T,TOTAL.T4,LogTOTAL.T,Complete,TE_ALL,T_tcP,T_tcDS,T_tcCS,T_tcS,NumTrials
Calling,LV.36,LLRR,0.5983,38,11,0.290273884,0.085714286,0.090909091,14,0.8348,61733,61036,1,3,55512,50701,4.744386874,1,2,3,1,1,2,
Calling,LV.39,RRLL,0.7376,42,12,0.714950012,0.135135135,0.083333333,14,0.9205,140974,78703,1,3,121861,116352,5.085864738,1,6,11,3,2,5,
Calling,LV.40,LLRR,0.6174,40,13,0.734269663,0.111111111,0.076923077,14,0.8106,60178,49494,1,3,44610,41837,4.649432223,1,2,3,1,0,1,
Calling,LV.44,LLRR,0.704,42,14,0.645628799,0.135135135,0.071428571,12,0.8914,69080,60038,1,3,300000,300000,5.477121255,0,4,14,2,0,2,
Calling,LV.47,RRLL,0.6202,39,15,0.629104282,0.147058824,0.066666667,14,0.7762,99963,134670,1,3,300000,300000,5.477121255,0,15,33,0,3,3,
Calling,LV.49,RLRL,0.5277,37,13,0.467463849,0.121212121,0.076923077,14,0.7249,61156,41635,1,3,300000,300000,5.477121255,0,1,13,18,0,18,
Calling,LV.66,LRLR,0.6304,40.5,14,0.42366757,0.125,0.071428571,14,,118853,39726,1,3,300000,300000,5.477121255,0,1,5,6,0,6,
Calling,LV.68,RRLL,0.5987,41,14,0.593982961,0.138888889,0.071428571,13,0.6964,53383,240000,1,3,76539,71975,4.883882784,1,4,8,2,1,3,
Calling,LV.71,LLRR,0.5597,40,14,0.195429304,0.290322581,0.071428571,11,0.7522,14238,54773,1,3,78844,74103,4.896768649,1,6,13,3,1,4,
Calling,LV.72,RLRL,0.733,41.5,13,0.382497171,0.152777778,0.076923077,12,0.9803,23263,44614,1,3,172692,168865,5.237272219,1,12,13,7,6,13,
